序号	语料
11		 "/w ꀃ/p  ꆏ /r ꇴ/v ！/w "/w
12		 ꑓꏮ...ꊝ/v ꇎꄮ /nt ꀑꂥ/u ꀋ/d ꄖ/v ꄉꅍ/n 、/w ꀃꑍ/nt ꀐ/d ꀒ /vl ꑍꁁꏯ/n ꀍꌼ/a ꀋꎪ/u ꏃꂠ/n ，/w ꇬ/r ꎔ/nl ꇉ/v  ꑓꁴ/n ，/w ꁅ/d ...ꄷ/v ꀐ/u ꅇ/n ：/w "/w ꑠꃅ/r ꀉꑌ ꄮ/nt ꀋꇈ/d {ꏸ}ꈌ/v ꂫꇽ/u  ꆍ/r ꀋ   /u 。/w "/w
13		 ꀒ/r ꀮꄑ/v  ꅽ /r ，/w ꎿꋮꂤꏂꀞ/n ꃪ/v ꋂ/n ꃅꇏ/n ！/w
14		 ꌡꉚ/v ꎮꉰꏃꋟꅝꁧꃤꃅꏸꏧꄺꂡ/ni ꀋꎪ /u ꃄꄟ/n ，/w ꈨ/m ꀱ/p ꅐꇐ/n "/w ꅐꒉ /v ꀡꂎ/i "/w ，/w ꁏ/v ꌬꁭ/n ꃅ/p ꀊꉗ/i ꀋꎪ/u ꂷ /n ，/w  ꆍꊇ/r ꁨ/v ꄲꃅ/r ꉪꅍ/n  ？/w
15		  ꅽ /r ꑍꃀꑍ/nt ꀋꂿꑘ/vu ꀊꉗꃅ/a ꃅ/u ꁨꆹ/v ꒉꈻ/n ꁰꍋ/v ，/w ...ꌠꌡ/v ꀙꋌꅍ/v ꒉꈻ/n ꀑꑊ/n 、/w ꒉꈻ{ꇭꀧ}ꋌ/n ꆌ    /u ，/w ꋍꃅ/r ꄎ/vu ꁨꑭꁏ/v ꁓꐒ/k ꃅ/u ꁆ/v ꌋꏣ/n ꁮꁞꋌ/a ，/w ꁆ/v ꇭꀧꃅ/n ꂱꑱ/r ꉹꌠ/n ꀋꎪ/u ꇫꐛꐨ/n ꂿꄐ/n ꊋꀥꇱ/v 。/w
16		 ꌡꆃ/n ꀗꊪ/n ꀋꇎ/c ꇓꍔꇓꀺ/n ꀱ/a ꆐꀋꅑ/a ꀋ/v ꈭꋍꈜꇈ /v    ꅽ /r ꅲ/v ꌡꆃ/n ꆿꅝꀗꊪ/n ꇓꍔꇓꀺ/n ꅀ/d ꀱ/a ꆐꀋꅑ/a ꋍꇈ/v ，/w ꀋꃋ/v ꄛꀱ/nh ꐰ/v ：/w ꀋꃋꋋꇅꇬ/nt ꎮꉰ/ns ꌡꆃ /n ꄻꄉꌠ/n ꇪꌦ/n ꅉ/u ꒃ/v ꁻꌐ/u ꌡꆃ /n ꆿꅝꀗꊪ/n
17		 ꊰꆨ/nt ꑍ/m ꀋꉊ/nt  ꀑꑊ/n ꃹ/p ꈝꂾꇬ/nl ꉉ/v ꁈꆸ/v ꁬꑧꇇ/n ꀊꋨ/u ꀨꎹ/n ，/w ꄉꉻꈭꈜ/j ꃘ/m ꃢ/n ꄿꏀꇔꇷ/n 曹永慈/nh ...ꄷ/v ꀁꂱ/r ꀀ/v ꀉꁁꋍꑵ/m ꀉꄂ/q ꁬꑧꇇ/n ꂸ/d ꃃ/a ꀋꎪ/u ，/w ꀅꌳꀅꌳꃅ/nhf ꂷ/c ...ꄷ/v ꀋꇝ/c
18		 ꄹꁆ/r ꌬꁭ /n ꀱ/p ꊿꊇ/r ...ꄷ/v ：/w  ꆍꊇ /r ꀒ/vl ꊩꎭꌠ/n ꀉꁁ /d ꀋꍑ/vl ꑲꅉꇤꂷꏲꂠ /j ꂷ /n ，/w ꀋꌸ/d ꀋ/u ？/w
19		 ꃹ/p ꉬꊰ/m ꉻꆏ /q ꀊꎴ/a ꀋꎪ/u ꋈꄻꅉ/n ꀒꁨꆹ/nd ，/w ꀂꏽ/p ꈀꄸꑌ/n ꀿꃶ /p ꅐꌞ/v ꀋꈐꀋꉈ/nd ꊌ/v ꇿ /a ，/w ꀿꃶ/p ꎭꏿ/a ꀋꈐꀋꉈ/nd ꈌꑟꉚ/v ꌒ/a ，/w ꀿꃶ/p ꉎꀋꐥ/a ꌤꑘ/n ꀋꈐꀋꉈ/nd ꃅꅜ /v ꂱꑱꊨꏦ/r ꁌꅍꐥꌠ/n
20		 ꇐꑪ/nh ꁦꋠ/n ꀨ/d ꀞ/v ꀋꎪ /u ꃶꐚꃅ/vl ꉉꈻ/v ，/w ꀉꄂ/d ꀁꉘꍈꇬ/d ꑟꇁ/v ꀉꁁꋍꑵ/m ꀠ/n ꄿꏀ/n ，/w "/w ꂯ /p ꇬ/v ꀲꒉ/v ꃛ/v ，/w {ꂽ}ꏃ/p  ꅽ /r ꎫ /v ꀐ/u ꁖꁧ/vd "/w ，/w ꀉꁁ/r ꁢꊧ /p ꄚ/r
21		 ꉟꑳꌦꄣ/nh ...ꄷ/v ：/w "/w 龚澎/nh ꇮ/v ꈲꌬ/v ꈀꐥ/r ꊜꋽ/n ꀑꂥ/vd ꇮꃅ/v ，/w ꋌ/r ꅉꀕ/d ꃶꐚꃅꇬ/nl ꀒ /vl ꃹ/p ꁳ /p ꈋꍣ/n ꂾ/p ꎃꊒ/a ꀋꎪ/u ꄐꇺ /v ，/w ꀉꄂ/c ꀋꉬ/d ꀋꄸꄷ/v ꀑꑊ /n ꉪꇬ/v  ꆏ /r ꀒ/vl
22		 "/w ꉘꀋꇉꆏ/v  ꆏ /r ꀞ/vu ꀑꂥ /vd 。/w "/w
23		  ꆏ /r ꀋꑍꊂ/nt ꐯ/d ꀋꆷ/a ꀞꅀ/u ？/w "/w
24		 "/w ꀊꀎ/e ，/w ꄚ/r ꀒ/vl  ꀒ /r ꀋꎪ/u ꁌꐥ/v ꃷ/n ，/w ꀊꄶ/r ꀉꄂ/d ꀊꅰ/d ꁌꁨ/v ꀂ /r ꁵ/v ꀀ/u ꁱ/v ꎺꁱ/v ꀋ/u 。/w "/w
25		 "/w  ꅽ  /r ꀋꎪ/u ꃅꄡ/n ꀉꇨ/vu ꅐꌞ/v ꁳ/p ꀂ/r ꀞꅀ /u ？/w "/w
26		 尹生辉/nh ꀙ/c ꀋꏣ/d ꆘꅝ/v ꅉꐚ/n ，/w ꀉꁁ/r ꄈꅉ/v ꀐ /u ꀀꄓ/vd ꆽꄿ/n ꀋꎪ/u ꇇ/n ，/w ꃚ/v ꀀ/u ꋌ/r ꇫꑌ/v ，/w ꀉꁁ/r ꀁꂱ/r ꄙ/d ꄈꅉ/v ꀀ/u ，/w ꀱ/p
27		 "/w ꀉꉙ/d ꀉꉙ/d ，/w ꀂ/r ꐯ/d ꅉꐚ/v  ꅽ /r ！/w "/w
28		 ꋌ/r ꀊꄶ/r ꆈꁉꀕ /a ꀋꎪ/u ꀉꇨ/a ꑓꋪ/n ，/w ꁺꎭ/v ꁖ/vd ꉔꀍꅮꍅꏿ/i ꀋꎪ/u ꁤꇅꀕ/n ，/w ꁆ/v ꋌ/r ꋽꐯꋽ/a ꀋꎪ/u ꀑꑊ/n ꀊꅰꃅ/d ꉥꑣ/a ，/w "/w ꀂ /r ꅉꐚ/v  ꅽ  /r ꀒ/vl ꑞꃅ /r ꈍꃅ/m ꀉꄂ/q ꃅꇏ/n ，/w ꀉꄂ /d
29		 ꑲꆀ/d  ꅽ /r ，/w ꀿꃶ/p ꀻꀠ/n ꄖ/nl ꂿ/v  {ꀀ}ꄓ/v ，/w ꀉꄂ/d ꇑꍆ/v ꀐ /u ꀂ/r ꈁꉬ/n ꀋꎪ/u ꉪꇐ/n ，/w ꋎꍅ/v ꀐ/u ꀂ /r ꉌꂵ/n ꀋꎪ/u ꂱ/r ꈍꃅ/m ꀉꁘ/q ꇘꐂ/v ，/w ꀂ/r ꀋꂿꑘ/vu  ꀂ/r ꀋꎪ/u ꈀꐥ/r ꀑꂥ/vd 爱/v  [你] /r ！/w "/w
30		 ꐋꀨ/n ꈮꈜ/a ꃄꁕ/u ꀋꏯ/p  ꇇꉩ /v ，/w ...ꄷ/v ：/w "/w ꅊꇈ/v  ꅽ /r ꃶꐚꃅ/v 一百/mꃅꈎ/q ！/w "/w
31		  ꆍꊇ/r ꀋꇈ/p ꇗꅉꃶꐚ/n ꁻ/v ꃹ /p ꀨꂶꌠ/m ꂒꉻ/q ，/w ꀋꇈ/p ꇩꏹ/n ꇭꍣꍗꑴ /n ꀰꏢ /n ꀋꇎ/c ꃅꀹ/n ꇓꐚ/n ꀋꎪ /u ꈲꁧ/n ꁻ/v ꃹ /p ꀨꂶꌠ/m ꂒꉻ/q ，/w ꃄꄟꐛꄟ/v ꀐ/u ꀊꂥꃅ/n ꀋꎪ/u ꏥꏦ/n 。/w
32		 ꀊꋨꄮꇬ/nt ꊿꊇ/r ꈍꃅ/d ꆧꁨꏍ /v ꁠ /d ꍔ;ꍔꂵ/v ꀐ/u   ꀋꎪ /u ꀱ/v ꁁꁒ/v ꅔꌉ/n ，/w ꋓꃏ/n ꀋꃉꌌ/d ꀍꇤ/v ꀐ/u ꀉꑌ /m ꀊꅰꃅ/n ，/w ꍜꇽ/n ꀉꄂ/d ꄛꇰ/v ，/w ꏤꄉ/v ꀋꎪ /u ꏤꄮ/nt ꀐ /d ꁧ/v ，/w ꀋꂿꑘ/vu ꌊꌬ /v ꆦꄉ/v
34		 "/w ꈀꎭꀕ /v ꅽ /r ꀉꉙ/d ꇬꇫ/v ꀂ/r ꋋꂶ/r ꁨ/v ꀐ/u ꆐꅑ/n ꀋꎪ/u ꀑꑊ/n 。/w "/w
35		 "/w ꇈꉈ/nt ꆏ /r ꀉꑌ/a  ꉪꇐ/nl ꇇꀤ/v ꀂ /r 。/w "/w
36		 ꀉꉙ/d ꁿ/v ꀉꉙ/d ꀑꐱ/v ：/w ꄉ/c  ꅽ /r ꀍꇤ /v ꀉꉙ/d {ꒉ}ꈾ/vd ꀊꏀ/a ꄉꏦ/n ！/w
37		 ꊿꊇ /r ꂿ/v  ꀽ/d ꈤ /v ꁏ /n ꀑꂥ/vd ：/w ꈍꃅ /m ꃅ/n
39		 ꂴꆽ/d ꀞ/v ꇴꉻ/n ꀁꉘ/a ，/w ꊐꎭ/v ꀉꉙ/d {ꐻ}ꐯ/v ，/w ꃆꐚꌠ/a ꀒ/vl ꈁꏾ/d ꀍꇤ/v ꈁꏾ/d ꁆꌠ/v ꈁꏾ/d ꅐꇁ/v ，/w ꇴꉻ/n ꌌꌬ/v ꄉꄐ/a ；/w ꂴꆽ/d ꀞ /v i ꇗꁨ/n ꌼ/a ，/w  ꎹꑼ/n ꁡꄆ/nd ꐯ/d ꇇꀤ/v ，
40		 ꊿꊇ/r ꄛꁮꀕ/i ꃄꁕ/u ...ꄷ /v ：/w "/w ꀑꁸ/nd ꁨ/v ꆹꐪ/n ，/w ꉹꁌ/n ꁨ/v ꇖꂟ/n ，/w ꄹꌶ/d ꇢꊭ/nd ꁨ/v ꀉꄂ/q '/w ꀊꅰꃅ/v ꀃꈈ/n ꄯꁯ/n '/w ，/w  ꆍꊇ /r ꀋꂿꑘ/vu ꀉꉙ/d  ，/w ꀒ/r ꀉꄂ/d ꆼꁠꌊꄜ/v ꂫꇽ/u 。/w "/w
41		 ꌿꎴ/v ꀉꄂ/d ꀈ꒜/vd ，/w ꃹ /p ꀋ /d ꃄꄻ/v ꅐꐨ/vꃅꎁꄹꏦ /n ꀋꎪ /u ꎸꍣꄐ/n ，/w ꎹꑼ/n  ꀉꄂ/d  ꄐꍈ/n ꄷ/v ：/w "/w  ꅽ /r ...ꄷ/v  ？/w
42		 ꀋꂿꑘ/vu ꀊꅰꃅ/d ꀉꉙ /d ꃄꄻ /v ꃅꎁꄹꏦ /n ，/w ꉪ/r ꀋ/d ꀠ/v  ꅽ  /r ꀉꉙ/d ꂪ/v ！/w "/w
43		 ꀉꒉꌠꃅꈎ {ꀉꑳ}ꒆ/nh ꀉꄂ /d {ꌧꇗ、ꉜꐨ}ꐛꉆ /v ꑱꈐ/n ꊛ/v ꁧꃤꃅ ꄐ /n ꀋꃋ/nt ，/w ꁡꇤ ꇥꀯ /n ꀱ /p ꇬ /r (ꅇ)ꉉ/v ：/w "/w ꅽꉪꁡꇤ/n ꌧꏢ/n ꄖ /n ꀉꑌ/a ，/w ꁨ/v ꄻꁡꇤ/n ꇮꇐꑼ /n ꂯ/d ꀁ/vu ꁖ/v ꁌ /n ，/w ꁏꇤ/d ꄷꆏ/r ꁦꁧ/q ꈍꃅ /m ꃚ/n ꁌ/n ꀧ ꎖꅇ ꊿꑫ/v ꁳ/p  [ꅽ] /r ꀞꐕ/v 。/w "/w 
44		 ꄎ/vu ꀞ /v ꀊ/u ꀨꎹ/n ，/w ꀒ /r ꀉꄂ/d ꀞ /v ；/w  [ꅽ] /r ꄚ/r ꀨꎹ/n ꀉꑳ/k ꀋꊒ/v ꏤꄉ/n ，/w ꁳ/v ...ꃥ/q ꏢꎭꁧ/n ꏢꎭꁧ/r ꂯ/d ꀉꉙꄎ/vu ꁳ /p ꀞ/v ！/w "/w 
45		 ꄚꀉꁘ/r ꂷꊂꌸ/v ꇽ /v ꃧꆰ/a ꃰꃅ/nd ，/w ꇬ/r ꉂꊿ/n ꄷ/v ꇬ/r ：/w "/w ꀊꋨꄮ/nt  [ꅽ] /r ꉪꐛ/v ꀂ/r ꀋꇎ/c ꆂ/m {ꄷ}ꈨ /q ꀉꑳ/n ꂫꇽ /u ꂷ/u ？/w "/w 
46		 ꇺꎁꃅ/v ꀊ /u ꄿꏀ/n ꇮꃅꊿ/n ꀉꇰ{ꅩ}ꅐ ꀈꄼ/nh ꂿꀐ/v ꎆꊐꄯꒉ /n ꀉꁁꋍꑵ /m ꀨ/v ，/w ꎆꌋꂓ/n ꀒꁨꆹ/nd ꁰꄻ/v ꀊ/u ꀒ/vl ꐫꐬ/nhf ꉴ ꊿꑫ ꀊꆨꇩꂓ/nhf ꑫ /k ，/w {ꈎꄜ}ꀄꊭꌠ /h ꀉꇰ/nhf ꄤꎖꄤꎖ/v {ꂒ}ꋉꀅꌳ/v ꀑꑊ/n (ꅇ)ꉉ/v ：/w "/w ꇯꍝꃅ/r ꁌ/n ꀎꋏ/d ꀉꉙꄎ /vu ꀮ ꁳ/v  [ꅽ ] /r 。/w "/w 
47		 ꁨꋍꑍ/v ，/w ꇬ/r ꉭꇌꉫꇌ/a ꃄꁕ/u ꆹꌊ /v ꎆꊭꅉ/n ，/w ꎹꅜ/v ꑍꃀꑍ/nt ꀭꌾꅳꆷ /n ꀍꌒꑊꌒ/a ꀋꎪ/u ꀉꁧ/n ꀉꇰ{ꅩ}ꅐ ꀈꄼ/nh (ꅇ)ꉉ /v ：/w "/w ꀉꁌ /n ꃹ /p ꄚ /r ꀨꎹꇬꊎꄉ/v ꀊ /u ꁌ /n ，/w ꀒ/vl ꇂꇎ /d ꁵꁳ/v  [ꅽ] /r ꃆꅿ/n ꀈ꒜/v ꀈꃀꄮ/nt ꀊ  /u ，/w ꀋꏯ/v ꀂ/r ꀎꋏ /d ꀋꇙꀋꑐ/v ꂫꇽ/u ，/w ꀉꁁꊿ /r ꀑꂥ/vd {ꂒ}ꋉꀅꌳ/v  [ꅽ] /r ꈍꃅꑌ/d ꀉꁁ/d ꀮꁳ /v ；/w  [ꅽ] /r ꃆꅿ /n ꀋꄸꄷ/c ꀈ꒜{ꏯ}ꀋꋌ/a ꀊ/u ꀮ/v ꀅꌳ/n ，/w  [ꅽ ] /r ꀐꍰ /d ꀋꂿꑘ/vu ꁰꄻ/v ꋌ pron ꋋ/r ꀊ /u ꂿꃆ/n ，/w ꀨꁵ/p ꋌ pron ꋋ/r ꀋꈘꏡ/i 。/w "/w 
48		 ꄚꂿꃅ/r ꈊꃀ/nt ，/w {ꈎꄜ}ꀄꊭꌠ/h ꀉꇰ/nhf ꀉꁁ/d ꁳ /p ꃆꅿ/n ꂴ/v ꂫꇽ/u ꊰꅍ/n ꄖ...ꇖꀁꇬꆹ /v ꁱ/vd ，/w ꀋꇔ/p ꃆꅿ/n ꇕꄟ/v ꇕꄟ/v ：/w "/w  [ꇕꄟ] /r ꈯꄿ/n ꁨꅑꀵ/v ，/w ꃄꄟ/v ꀋꌒ/a ，/w ꀋꌐ/p ꁌꒉ;ꉜꁨ/v ꐫꐬ/nhf ꀉꁌ/n ꀋꌦꀕꂾ/nt ꀋꎪ/u ꀠ /v ，/w ꇈꉈ /nt  [ꅽ] /r ꄻꅐꁌ/v ꀋꃋ /nt ꀃ/p ꀑꑊ/n ꄀ ꌌꆹ/v ꀉꄂ/q ꀋꎪꀉꑳ/n ，/w ꉠ/r ꁳ /p  [ꅽ] /r ꄖ...ꇖꀑꂥ/v 。/w 
49		 ꀋꄸꄷꀒ /c ꀨꁵ/p ꀉꁁꊿ /r ꆴ /v  [ꅽ] /r {ꂒ}ꋉꀅꌳ/v ，/w  [ꅽ] /r ꀨꁵ/p {ꂒ}ꋉꀅꌳ/v ꀑꑊ/n ꀿꃶ/p ꄊꄐ /n {ꐻ}ꐯ/v ꀉꄂ/q ꅇꊪꌬꀋꎪ/n ，/w ꅇꊪꌬ/n ꀒ /vl  [ꅽ] /r ꀨꁵ/p {ꂒ}ꋉ/v ꀋꎪ/u 。/w 
50		  [ꅽ] /r (ꅇ)ꉉ/v ...ꑘ/v ꀞꅀ/u ？/w "/w 
51		 ꃆꅿ/n ꄿꐨꈔ/v ，/w ꉩꄉ/v ꀁꉘ/h ꀉꇰ/nhf ꀋꎪ/u ꇇꁈ/n (ꅇ)ꉉ/v ：/w "/w  [ꅽ] /r ꁳ /p ꃆꅿ/n ꂿꉂ/v ꀁ/u ꀉꒆꅉ/d ꋒ /a ꀊꀎ ꌗꏿꅇ/u ，/w ꀉꄂ/d ꑠꃅ/r ꀞ/v ꀞ/u ！/w "/w 
52		 ꃥꈿꑳ/n ꊥꃀ/n ꀈꄼ{ꇁ}ꋋꀿ꒜ꄐ/nh ꀋꇎ/c ꀉꑌꌠ /n ꇮꃅꊿ/n ꁨ/v ꀁꂱ/r ꀋꎪ/u ꁢꊧ /n ：/w ꀉꉙ/d ꅉꐚ/v  [ꅽ] /r ꀋꎪ/u ꋠꅍ/n ꀎ/a ꀒ/c ꀋꉾ/a ，/w ꑞꃅ /r ꀉꉙ/d ꀉꇨ/vu ꈌꑟ /v ？/w 
53		 ꑍꑵꃺ/n ꃹ /d ꆄꇖ/v ：/w "/w ꆄꇖ/n ，/w  [ꅽ] /r ꀋꂿꑘ/vu ꁳ /p ꀊꋨꄮꀁꇬ/n ꋪꒃ/v ꀊꀎ ꌗꏿꅇ/u ！/w "/w 
54		 ꃆꂮ/n ꃛ/a ，/w ꁶꀉꉙꀑꑊꀉꇖ/i ，/w ꌧꇤꀄꊭꌠꀉꑌ/nh ꀋꆅ{ꎿ}ꋴ/nl ꁣꏖ{ꀀ}ꄓ/v ꂫꇽ /u ꄐꂘꊿ/n ꀋꎪ/u ꀠ/v ：/w "/w ꄿꂿ /c {ꌤ}ꅐ/v ꂫꇽ /u ꄲꃅ /r ꀨꎹ/n ，/w  [ꅽ] /r ꂯ /d ꀋꂿꑘ/vu ꇗꄃꅍ/a ꀞ /v 。/w "/w 
55		 ꁳ ꁴꀒ /c ꇬ/r ꀉꇨꉌꇨ/v ꃃ/n ，/w ꄐꄉꄉ/v ꂫꇽ /u ꀉꇨꃺ/n ，/w ꇫꋌ /v {ꄉ}ꄐ/nd ꀲꒉ/v {ꃢꈜ}ꈚ/u ꇖ;ꇖꂟ/v ：/w "/w ꀋꄸꄷ /c  [ꅽ] /r ...ꈭꐨ/d ꁖ/v ꄲꃅ /r ꀨꎹ/n ，/w ꀉꄉꀋ꒜/n ꀞ /vu ꀉꄻꀕ/d ꂿꃅꀋꇙꀋꑐ /v ꀋꎪ/u 。/w "/w 
56		 ꂯꄉ/v ꀒꁨꆹ ꈪ/v ，/w ꄚꇬ ꂒꅉ /r ꈛꈴꊿ /n ꏟꈯꃅ/d ꉩꄉ/v ꀉꁘ/nhf ꈪꀉꒉ/n ꀋꎪ/u ꇇꁈ/n ꃃ/a ꃄꁕ/u (ꅇ)ꉉ/v ：/w "/w  [ꅽ] (ꃶ)ꊈ/r ꇬꑌ/c ꀉꉙꀒ /vl ꉠ/r ꀋꎪ/u ꀉꂿꀑꑊ/n ，/w ꄙ/d ꀍꈜ/v ꀉꂿꀑꑊ/n ꀐ/u ！/w "/w 
57		 "/w ꀑꂥ/vd ꍈ /v ꊿꑱꊾꇬ/n ，/w ꅲ /v  [ꅽ] /r ꀑꂥꄉ/v ꄲꃅ /r ꃄꁕ...ꇰ/n ？/w 
58		 "/w ꀋꃋꃹ /nt ꉠ/r ꏱꁕ/n ꀊꌃ/d ꁌꒉ...ꑘ/v ꋬꂻ/n ꈌꃖꄟ/n ꀨꎹ/v ，/w ꀱ/p ꀉꁁꀑꂥ/v ꀑꑊꂷ /n ꀋꂿꑘ/vu ...ꇬꊐ...ꑘ/v ꀁꉘ/d ꁠꄉ/v ꊿꑱꊾꇬ/n ꁱꄉ/v ，/w ꃴ/p ꏤ;ꏤꇐ/n ꀋꂿꑘ/vu ꍤꉚ/v  [ꅽ] /r ꀋꎪ/u ꁨꃑ /v ꊪꄳ/n ，/w ꁨ/v ꀋꏸ /v 。/w "/w 
59		 "/w ꀋꃋꃹ /nt ꂽ /n ꂶꂷ...ꑘ/v ꂽꇜꌐꂷ/n ꄹꏦ/k ，/w  [ꅽ] (ꃶ)ꊈ/r ...ꄮ/v ꀀꅉꀉꒉ/n ꀋꎪ/u ꀒ /vl {ꄉ}ꄐ{ꂽ}ꏃ/n {ꇇ}ꀯꀒ /c ꀂꉗ{ꂽ}ꏃ/n ？/w "/w 
60		 ꀑꑊ/n ꀋꎪ/u ꋍꍂ /nt ꀉꄂ/d ꀉꏮ/p ꆳꂾ...ꑘ/v ꃹ /p ꀉꇨꀉꑌ/n {ꄉ}ꄐ/nd ꀋꎪ/u ꀉꁁꋍꑵ /m ꇬ/n ꀁꉘ/a ꆳꂾ /n ，/w ꈁꏾ{ꃢꈜ}ꈚ/p ꀉꇨꁏꀉꇨꆙ/i ，/w ꋍꃢꆏ/d ꀀꀨ/p ꃷꀒꁨꆹ /v ꆙ{ꃚ}ꎄ/nl ，/w ꋍꃢꆏ/d ꀀꀨ/p ꇵꀁꋌ/v ꆙꇁꄿ /n ，/w ꀉꄂ /c ꁅ ꀋꂿꑘ/vu  [ꅽ] /r ꅥꂿꅥꂿ/a ꉈꊪ/v ꆳꂾ/v ꈜꍜꏀꅍ/n ，/w ꀨ ꄎ/vu ꑟ/v ꀞ ꂿꉂ/a ꀋꎪ/u ꀊꋩꈚ/n 。/w 
61		 "/w ꀑꑊ/n 、/w ꎆ /n 、/w ꀋꎪꌠ/n ꌒ/m ꄤ/n ꂯ /d ꀱ /v  [ꅽ] /r 。/w "/w 
